艾叶,ai'ye
艾叶炭,ai'ye'tan
巴戟天,ba'ji'tian
八角茴香,ba'jiao'hui'xiang
八月扎,ba'yue'zha
百部,bai'bu
白豆蔻,bai'dou'kou
白果仁,bai'guo'ren
百合,bai'he
白花蛇舌草,bai'hua'she'she'cao
白及,bai'ji
败酱草,bai'jiang'cao
白蔹,bai'lian
白茅根,bai'mao'gen
白前,bai'qian
白芍,bai'shao
白头翁,bai'tou'weng
白薇,bai'wei
白鲜皮,bai'xian'pi
白芷,bai'zhi
白术,bai'zhu
柏子仁,bai'zi'ren
板蓝根,ban'lan'gen
半枝莲,ban'zhi'lian
北沙参,bei'sha'shen
萆薢,bi'xie
萹蓄,bian'xu
槟榔,bing'lang
薄荷,bo'he
蚕砂,can'sha
草豆蔻,cao'dou'kou
草果,cao'guo
侧柏炭,ce'bai'tan
侧柏叶,ce'bai'ye
柴胡,chai'hu
蝉蜕,chan'tui
炒白扁豆,chao'bai'bian'dou
炒白芍,chao'bai'shao
炒白术,chao'bai'zhu
炒苍耳子,chao'cang'er'zi
炒苍术,chao'cang'zhu
炒车前子,chao'che'qian'zi
炒谷芽,chao'gu'ya
炒瓜蒌仁,chao'gua'lou'ren
炒诃子,chao'he'zi
炒厚朴,chao'hou'pu
炒槐米,chao'huai'mi
炒鸡内金,chao'ji'nei'jin
炒莱菔子,chao'lai'fu'zi
炒麦芽,chao'mai'ya
炒酸枣仁,chao'suan'zao'ren
炒王不留行,chao'wang'bu'liu'xing
炒五灵脂,chao'wu'ling'zhi
炒枳壳,chao'zhi'ke
炒枳实,chao'zhi'shi
车前草,che'qian'cao
陈皮,chen'pi
沉香,chen'xiang
赤芍,chi'shao
赤石脂,chi'shi'zhi
赤小豆,chi'xiao'dou
重楼,chong'lou
茺蔚子,chong'wei'zi
川贝母,chuan'bei'mu
川姜黄,chuan'jiang'huang
川楝子,chuan'lian'zi
川牛膝,chuan'niu'xi
穿山甲,chuan'shan'jia
穿心莲,chuan'xin'lian
川芎,chuan'xiong
垂盆草,chui'pen'cao
椿根皮,chun'gen'pi
春花,chun'hua
刺蒺藜,ci'ji'li
醋鳖甲,cu'bie'jia
醋龟板,cu'gui'ban
醋龟甲,cu'gui'jia
大腹皮,da'fu'pi
大黄,da'huang
大活血,da'huo'xue
大蓟,da'ji
大力子,da'li'zi
大青叶,da'qing'ye
大血藤,da'xue'teng
大枣,da'zao
代赭石,dai'zhe'shi
淡豆豉,dan'dou'chi
胆南星,dan'nan'xing
丹皮,dan'pi
丹参,dan'shen
淡竹叶,dan'zhu'ye
当归,dang'gui
党参,dang'shen
地鳖虫,di'bie'chong
地耳草,di'er'cao
地肤子,di'fu'zi
地骨皮,di'gu'pi
地榆,di'yu
地榆炭,di'yu'tan
丁香,ding'xiang
冬瓜皮,dong'gua'pi
冬瓜仁,dong'gua'ren
冬葵子,dong'kui'zi
独活,du'huo
杜仲,du'zhong
煅磁石,duan'ci'shi
煅海蛤壳,duan'hai'ge'ke
煅决明,duan'jue'ming
煅龙齿,duan'long'chi
煅龙骨,duan'long'gu
煅牡蛎,duan'mu'li
煅瓦楞子,duan'wa'leng'zi
煅赭石,duan'zhe'shi
煅珍珠母,duan'zhen'zhu'mu
煅自然铜,duan'zi'ran'tong
阿胶,e'jiao
莪术,e'zhu
法半夏,fa'ban'xia
番泻叶,fan'xie'ye
防风,fang'feng
防己,fang'ji
蜂房,feng'fang
